ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
ega,,275,ega,ega,{},5.5,-5.5,Africa,,Ega,1230,False,False
ejagham,,274,eja,etu,{},5.41666666667,8.66666666667,Africa,,Ejagham,1452,False,False
ekoti,,274,eko,eko,{},-16.5,39.5,Africa,,Ekoti,794,False,False
emai,,295,ora,ema,{},7.08333333333,5.91666666667,Africa,,Emai,196,False,False
engenni,,295,egn,enn,{},5.16666666667,6.38333333333,Africa,,Engenni,1993,False,False
enya,,274,eny,gey,{},-0.5,25.25,Africa,,Enya,316,False,False
etsako,,295,ets,ets,{},7.25,6.5,Africa,,Etsako,59,False,False
ewe,,275,ewe,ewe,{},6.33333333333,0.416666666667,Africa,,Ewe,2443,False,True
ewe (anglo),,275,ewa,ewe,{},6.0,1.0,Africa,,Ewe (Anglo),317,False,False
ewondo,,274,ewo,ewo,{},4.0,12.0,Africa,,Ewondo,2135,False,False
fefe,,274,fef,fmp,{},5.25,10.1666666667,Africa,,Fe'fe',1304,False,False
fiote,,274,fio,kng,{},-5.5,14.0,Africa,,Fiote,872,False,False
fongbe,,275,fon,fon,{},6.41666666667,2.16666666667,Africa,,Fongbe,1305,False,False
fula (burkina faso),,276,fbf,fuh,{},14.0,0.0,Africa,,Fula (Burkina Faso),64,False,False
fula (cameroonian),,276,fua,fub,{},9.16666666667,13.5,Africa,,Fula (Cameroonian),1892,False,False
fula (guinean),,276,fgu,fuf,{},11.5,-12.5,Africa,,Fula (Guinean),529,False,False
fula (mauritanian),,276,fma,fuc,{},16.5,-13.75,Africa,,Fula (Mauritanian),677,False,False
fula (nigerian),,276,fni,fuv,{},8.16666666667,10.5,Africa,,Fula (Nigerian),2227,False,False
fulani (gombe),,276,fgo,fub,{},10.25,11.25,Africa,,Fulani (Gombe),65,False,False
fula (senegal),,276,fus,fuc,{},15.0,-14.0,Africa,,Fula (Senegal),319,False,False
fulfulde (maasina),,276,fum,ffm,{},15.0,-5.0,Africa,,Fulfulde (Maasina),66,False,False
ful (liptako),,276,fli,fuh,{},13.5,0.5,Africa,,Ful (Liptako),63,False,False
fur,,306,fur,fvr,{},13.5,25.0,Africa,,Fur,2367,False,True
fyem,,283,fye,pym,{},9.58333333333,9.33333333333,Africa,,Fyem,2173,False,False
ga,,275,ga,gaa,{},5.66666666667,-0.166666666667,Africa,,Gã,1866,False,False
gaanda,,5,gnd,gqa,{},10.3333333333,12.5833333333,Africa,,Ga'anda,1168,False,False
gade,,278,gad,ged,{},8.66666666667,7.41666666667,Africa,,Gade,530,False,False
gamo,,13,gam,gmv,{},6.66666666667,37.25,Africa,,Gamo,1545,False,False
gbaya kara,,537,gbk,gya,{},6.0,15.0,Africa,,Gbaya Kara,1547,False,False
gbeya bossangoa,,537,gbb,gbp,{},6.66666666667,17.5,Africa,,Gbeya Bossangoa,2276,False,False
ghotuo,,295,gho,aaa,{},7.08333333333,5.75,Africa,,Ghotuo,84,False,False
ghulfan,,307,nbh,ghl,{},12.0,31.0,Africa,,Ghulfan,822,False,False
gidar,,5,gdr,gid,{},10.0,14.0,Africa,,Gidar,85,False,False
gimira,,13,gim,bcq,{},7.0,35.75,Africa,,Gimira,1930,False,False
giziga,,5,giz,"gis, giz",{},10.3333333333,14.1666666667,Africa,,Giziga,86,False,False
godie,,277,gdi,god,{},5.41666666667,-5.83333333333,Africa,,Godié,1031,False,False
goemai,,6,goe,ank,{},8.66666666667,9.75,Africa,,Goemai,1639,False,False
gokana,,293,gok,gkn,{},4.58333333333,7.33333333333,Africa,,Gokana,1796,False,False
gola,,291,gol,gol,{},7.25,-10.8333333333,Africa,,Gola,1233,False,False
gorowa,,1,gor,gow,{},-4.5,36.5,Africa,,Gorowa,680,False,False
grebo,,277,grb,grj,{},5.0,-8.0,Africa,,Grebo,2444,True,True
gude,,5,gud,gde,{},10.4166666667,13.4166666667,Africa,,Gude,2076,False,False
guduf,,5,gdf,gdf,{},11.2333333333,13.8,Africa,,Guduf,536,False,False
guere,,277,gue,"gxx, wec",{},6.66666666667,-7.75,Africa,,Guere,91,False,False
guinea bissau crioulo,,331,gbc,pov,{},12.0,-15.0,Africa,,Guinea Bissau Crioulo,93,False,False
gula (in central african republic),,305,gul,glu,{},9.5,22.5,Africa,,Gula (in Central African Republic),1682,False,False
gula iro,,279,gir,glj,{},10.25,19.4166666667,Africa,,Gula Iro,324,False,False
gumuz,,321,gmz,guk,{},12.5,35.8333333333,Africa,,Gumuz,1867,False,False
gungbe,,275,guw,guw,{},6.5,2.5,Africa,,Gungbe,2590,False,False
gunu,,274,gun,yas,{},4.58333333333,11.25,Africa,,Gunu,681,False,False
gurenne,,290,grn,gur,{},10.8333333333,-0.916666666667,Africa,,Gurenne,874,False,False
gurma,,290,grm,gux,{},12.25,1.0,Africa,,Gurma,326,False,False
gurma (togo),,290,gut,gux,{},10.75,0.666666666667,Africa,,Gurma (Togo),95,False,False
guro,,273,gro,goa,{},7.0,-6.0,Africa,,Guro,96,False,False
gusii,,274,gus,guz,{},-0.75,34.8333333333,Africa,,Gusii,97,False,False
gwari,,278,gwa,gbr,{},9.5,7.0,Africa,,Gwari,2111,False,False
gworok,,283,gwo,kcg,{},9.91666666667,8.16666666667,Africa,,Gworok,1114,False,False
hadza,,166,had,hts,{},-3.75,35.1666666667,Africa,,Hadza,1235,False,False
hamer,,9,hmr,amf,{},5.0,36.5,Africa,,Hamer,1799,False,False
harari,,10,hrr,har,{},9.25,42.1666666667,Africa,,Harari,99,False,False
hausa,,6,hau,hau,{},12.0,7.0,Africa,,Hausa,2531,True,True
haya,,274,hya,hay,{},-2.0,31.5,Africa,,Haya,1596,False,False
hdi,,5,hdi,xed,{},11.8666666667,13.7166666667,Africa,,Hdi,876,False,False
hehe,,274,heh,heh,{},-8.0,36.0,Africa,,Hehe,1116,False,False
hemba,,274,hem,hem,{},-6.25,27.1666666667,Africa,,Hemba,1070,False,False
herero,,274,her,her,{},-20.5833333333,19.0,Africa,,Herero,799,False,False
hoan,,213,huc,huc,{},-25.5,25.0,Africa,,=|Hoan,2671,False,False
holoholo,,274,hol,hoo,{},-5.16666666667,29.9166666667,Africa,,Holoholo,1071,False,False
hunde,,274,hnd,hke,{},-1.16666666667,28.8333333333,Africa,,Hunde,1720,False,False
ibibio,,293,ibi,ibb,{},5.25,7.83333333333,Africa,,Ibibio,106,False,False
idoma,,289,ido,idu,{},6.91666666667,7.5,Africa,,Idoma,1171,False,False
ifumu,,274,ifm,ifm,{},-3.66666666667,15.3333333333,Africa,,Ifumu,800,False,False
igbo,,272,igb,ibo,{},6.0,7.33333333333,Africa,,Igbo,2410,False,True
igede,,289,ige,ige,{},7.0,8.16666666667,Africa,,Igede,1353,False,False
ijo (kolokuma),,288,ijo,ijc,{},4.91666666667,5.66666666667,Africa,,Ijo (Kolokuma),2300,False,False
ik,,316,ik,ikx,{},3.75,34.1666666667,Africa,,Ik,2262,False,False
ila,,274,ila,ilb,{},-15.5833333333,26.5,Africa,,Ila,1600,False,False
ingessana,,298,igs,tbi,{},11.5,34.0,Africa,,Ingessana,1956,False,False
iraqw,,1,irq,irk,{},-4.0,35.5,Africa,,Iraqw,2453,False,True
isekiri,,294,ise,its,{},5.66666666667,5.5,Africa,,Isekiri,690,False,False
isoko,,295,iso,iso,{},5.5,6.25,Africa,,Isoko,1238,False,False
iwoyo,,274,kwy,kwy,{},-5.5,12.25,Africa,,Iwoyo,2596,False,False
izi,,272,izi,izz,{},6.33333333333,8.0,Africa,,Izi,1833,False,False
jamsay,,296,jms,djm,{},14.4166666667,-2.5,Africa,,Jamsay,2581,False,False
jarawa (in nigeria),,274,jar,jar,{},9.5,10.5,Africa,,Jarawa (in Nigeria),1508,False,False
jeli,,292,jel,,{},9.5,-5.66666666667,Africa,,Jeli,1308,False,False
jomang,,281,jom,tlo,{},10.5833333333,30.5,Africa,,Jomang,1241,False,False
juhoan,,212,juh,ktz,{},-19.0,21.0,Africa,,Ju|'hoan,2450,False,True
jukun,,283,juk,jbu,{},6.91666666667,10.4166666667,Africa,,Jukun,1756,False,False
jur modo,,305,jmo,bex,{},6.0,30.0,Africa,,Jur Mödö,1932,False,False
kabiye,,290,kby,kbp,{},9.66666666667,1.16666666667,Africa,,Kabiyé,1174,False,False
kabyle,,4,kbl,kab,{},36.5,5.0,Africa,,Kabyle,1757,False,False
kadugli,,198,kad,xtc,{},11.0,29.6666666667,Africa,,Kadugli,1685,False,False
kagoma,,283,kgm,kdm,{},9.25,8.16666666667,Africa,,Kagoma,124,False,False
kagulu,,274,kgr,kki,{},-6.33333333333,37.0,Africa,,Kagulu,1309,False,False
kalanga,,274,klz,kck,{},-20.5,27.5,Africa,,Kalanga,343,False,False
kamba,,274,kba,kam,{},-1.5,38.0,Africa,,Kamba,1398,False,False
kami,,274,kmi,kcu,{},-6.75,38.0,Africa,,Kami,695,False,False
kana,,293,kan,ogo,{},4.75,7.41666666667,Africa,,Kana,2124,False,False
kanakuru,,6,knk,kna,{},10.0,12.0,Africa,,Kanakuru,2220,False,False
kanembu,,309,kbu,kbl,{},14.0,15.0,Africa,,Kanembu,1034,False,False
kanuri,,309,knr,knc,{},12.0,13.0,Africa,,Kanuri,2500,False,True
kanyok,,274,kyo,kny,{},-7.33333333333,23.5833333333,Africa,,Kanyok,348,False,False
kara (in central african republic),,305,kar,kah,{},10.0,23.0,Africa,,Kara (in Central African Republic),1643,False,False
karanga,,274,krg,sna,{},-20.0,31.0,Africa,,Karanga,350,False,False
karimojong,,320,kmj,kdj,{},3.0,34.1666666667,Africa,,Karimojong,1976,False,False
kasem,,290,ksm,xsm,{},11.25,-1.25,Africa,,Kasem,699,False,False
kasim,,290,xsm,xsm,{},11.0,-1.33333333333,Africa,,Kàsim,2585,False,False
katcha,,198,ktc,xtc,{},10.8333333333,29.6666666667,Africa,,Katcha,1244,False,False
katla,,284,ktl,kcr,{},11.8333333333,29.3333333333,Africa,,Katla,1723,False,False
kefa,,9,kef,kbr,{},7.25,36.25,Africa,,Kefa,1310,False,False
kemant,,7,kem,ahg,{},12.6666666667,37.4166666667,Africa,,Kemant,1760,False,False
kenga,,305,ken,kyq,{},12.0,18.0,Africa,,Kenga,1552,False,False
kenyang,,274,kyg,ken,{},5.66666666667,9.5,Africa,,Kenyang,357,False,False
kenyan sign language,,330,ksl,xki,{},0.0,38.0,Africa,,Kenyan Sign Language,133,False,False
kera,,2,ker,ker,{},9.83333333333,15.0833333333,Africa,,Kera,2369,False,True
kete,,274,kte,kcv,{},-7.0,22.8333333333,Africa,,Kete,1359,False,False
khoekhoe,,210,kho,naq,{},-25.5,18.0,Africa,,Khoekhoe,2493,True,True
kikuyu,,274,kik,kik,{},-0.75,36.75,Africa,,Kikuyu,1898,False,False
kilba,,5,klb,hbb,{},10.3333333333,13.1666666667,Africa,,Kilba,359,False,False
kiluba,,274,kil,lub,{},-8.0,26.0,Africa,,Kiluba,1311,False,False
kinga,,274,kga,zga,{},-9.0,34.0,Africa,,Kinga,1246,False,False
kinyarwanda,,274,kin,kin,{},-2.0,30.0,Africa,,Kinyarwanda,1761,False,False
kirma,,290,kir,cme,{},10.25,-4.83333333333,Africa,,Kirma,1512,False,False
kisi,,291,kis,"kqs, kss",{},8.83333333333,-10.1666666667,Africa,,Kisi,2311,False,False
kisi (southern),,291,kss,kss,{},8.5,-10.25,Africa,,Kisi (Southern),1247,False,False
kituba,,331,ktb,ktu,{},-5.0,17.5,Africa,,Kituba,360,False,False
klao,,277,kla,klu,{},4.75,-8.75,Africa,,Klao,1645,False,False
koegu,,322,koe,xwg,{},7.0,36.0833333333,Africa,,Koegu,1688,False,False
koh (lakka),,279,klk,xuo,{},8.0,15.5,Africa,,Koh (Lakka),882,False,False
kohumono,,293,koh,bcs,{},6.0,8.11666666667,Africa,,Kohumono,1179,False,False
kom,,274,kou,bkm,{},6.25,10.3333333333,Africa,,Kom,138,False,False
komo,,300,kom,xom,{},8.75,33.75,Africa,,Komo,1997,False,False
kongo,,274,kon,"kng, kwy",{},-5.0,15.0,Africa,,Kongo,2313,False,True
konkomba,,290,kkb,xon,{},10.0,0.0833333333333,Africa,,Konkomba,705,False,False
konni,,290,kni,kma,{},10.25,-1.58333333333,Africa,,Konni,1606,False,False
konyagi,,276,kgi,cou,{},12.5,-13.25,Africa,,Konyagi,1038,False,False
koorete,,13,kjr,kqy,{},5.83333333333,37.8333333333,Africa,,Koorete,140,False,False
korana,,210,krn,kqz,{},-29.5,20.5,Africa,,Korana,1957,False,False
koranko,,292,kko,knk,{},9.33333333333,-11.25,Africa,,Koranko,706,False,False
koromfe,,290,kfe,kfz,{},14.25,-0.916666666667,Africa,,Koromfe,2466,False,True
kosop,,279,ksp,kia,{},9.91666666667,15.9166666667,Africa,,Kosop,139,False,False
kotoko,,5,ktk,aal,{},11.3333333333,15.3333333333,Africa,,Kotoko,1312,False,False
ko (winye),,290,kow,kst,{},11.8666666667,-2.91666666667,Africa,,Ko (Winye),548,False,False
koyraboro senni,,308,kse,ses,{},16.0,0.0,Africa,,Koyraboro Senni,2432,True,True
koyra chiini,,308,kch,khq,{},17.0,-3.0,Africa,,Koyra Chiini,2352,False,False
kpan,,283,kpa,kpk,{},7.58333333333,10.1666666667,Africa,,Kpan,1248,False,False
kpelle,,292,kpe,xpe,{},7.0,-10.0,Africa,,Kpelle,1958,False,False
kposo,,275,kpo,kpo,{},7.5,0.833333333333,Africa,,Kposo,707,False,False
kresh,,301,kre,krs,{},8.5,24.5,Africa,,Kresh,1804,False,False
krongo,,198,kro,kgo,{},10.5,30.0,Africa,,Krongo,2497,True,True
kuku,,320,kuk,bfa,{},5.83333333333,31.6666666667,Africa,,Kukú,1124,False,False
kullo,,13,kul,gmo,{},6.75,37.0833333333,Africa,,Kullo,1360,False,False
kunama,,317,knm,kun,{},14.5,37.0,Africa,,Kunama,2415,False,True
kwami,,6,kwm,ksq,{},10.4166666667,11.0,Africa,,Kwami,931,False,False
kwangali,,274,kwn,kwn,{},-18.0,19.5,Africa,,Kwangali,1724,False,False
kxoe,,210,kxo,xuu,{},-17.5,22.5,Africa,,Kxoe,1648,False,False
